Longitude,Latitude,datetime,UHI Index,building_coverage,B01,B02,B03,B04,B06,B08,B11,B12,L11,NDVI,NDBI,NDWI,EVI,SAVI,NBAI,location,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
-73.97715667,40.771555,2021-07-24 15:01:00,0.97523438,4.248420893702526e-07,485.0,1106.0,1266.0,1392.0,2175.0,1995.0,2090.0,1662.0,31.639933580000047,0.17803365810451727,0.023255813866853714,-0.22355105795768168,0.7342912810521188,0.26701107011070113,0.30572474002838135,Manhattan,26.1,51.1,4.1,139,140
-73.91016667,40.803775,2021-07-24 15:01:00,1.000718133,2.952757470811175e-06,1319.5,1356.0,1486.0,1548.0,1578.5,1640.0,1774.5,1634.0,40.83782540000004,0.028858218318695106,0.03939083218574524,-0.04926423544465771,0.30303030303030304,0.04328053943860749,0.3503020703792572,Manhattan,26.1,51.1,4.1,139,140
-73.91026833,40.80381667,2021-07-24 15:01:00,1.000718133,2.952757470811175e-06,1319.5,1339.0,1405.0,1540.0,1578.5,1651.0,1774.5,1634.0,40.83782540000004,0.03478533375117518,0.0360531322658062,-0.08049738219895287,0.3266627427898764,0.052169826100579665,0.3473663330078125,Manhattan,26.1,51.1,4.1,139,140
-73.97874167,40.771675,2021-07-24 15:01:00,0.97523438,1.0833104715129374e-05,469.0,529.5,667.0,558.5,2221.5,2844.0,1691.5,952.0,33.44464814000003,0.6717119764878766,-0.2541064918041229,-0.6200512674451724,2.568266097314305,1.0074199235968262,-0.03653758391737938,Manhattan,26.1,51.1,4.1,139,140
-73.97845333,40.77167667,2021-07-24 15:01:00,0.97090695,4.248420893702526e-07,400.5,418.5,509.5,413.5,2277.5,2636.0,1650.5,917.5,32.69610176000003,0.7288080013116904,-0.22990785539150238,-0.6760451438563027,2.8072502210433243,1.0930327868852459,-0.013066872023046017,Manhattan,26.1,51.1,4.1,139,140
-73.97833833,40.77169667,2021-07-24 15:01:00,0.973070665,4.248420893702526e-07,400.5,425.0,572.0,422.5,2277.5,3256.0,1650.5,917.5,32.69610176000003,0.7702868016854696,-0.32721900939941406,-0.7011494252873564,2.7198118640813975,1.1552731720576244,-0.11813186854124069,Manhattan,26.1,51.1,4.1,139,140
-73.97822667,40.77171667,2021-07-24 15:01:00,0.973070665,4.248420893702526e-07,400.5,494.5,636.0,484.0,2253.5,3251.0,1697.5,933.0,32.330373620000046,0.7408299866131192,-0.31393352150917053,-0.6727553383071778,2.8266421493513127,1.1110962387899879,-0.10550029575824738,Manhattan,26.1,51.1,4.1,139,140
-73.97811,40.77172667,2021-07-24 15:01:00,0.97090695,4.248420893702526e-07,509.0,490.0,664.0,483.0,2432.0,3069.0,1632.0,795.5,32.330373620000046,0.7280405405405406,-0.30567964911460876,-0.6442539512456469,2.8194505015263847,1.0919071076706546,-0.11671063303947449,Manhattan,26.1,51.1,4.1,139,140
-73.97787,40.771715,2021-07-24 15:01:00,0.968743235,4.248420893702526e-07,400.5,439.5,575.0,506.0,2061.0,2448.0,1599.5,933.0,32.074022119999995,0.6574136763710223,-0.20963557064533234,-0.6195831955011578,2.2181610508280984,0.9859536300558471,0.016966167837381363,Manhattan,26.1,51.1,4.1,139,140
-73.977755,40.77168833,2021-07-24 15:01:00,0.968743235,4.248420893702526e-07,485.0,515.5,616.5,573.5,2153.0,2671.0,1599.5,909.5,32.074022119999995,0.6464786561873941,-0.25090739130973816,-0.6249429657794677,2.3339267831311896,0.9695685670261942,-0.031274132430553436,Manhattan,26.1,51.1,4.1,139,140
